,Unnamed: 0,Unnamed: 0.1,No.,Job_Company,Job_Title,Job_Description,Education_level,Skills_Requirement,python,nosql,sql,r,ai,r語言,mysql,mongodb,資料庫,javascript,機器學習,深度學習,資料探勘,文字探勘,linux,統計學,資料分析,sap,sas,java,c++,c#
75,75,75,76,捷智商訊科技股份有限公司,.NET程式設計師,"	主要工作內容包括:
        *參與開發與維護 ASP.NET C#系統。
	*進行既有產品之持續優化與新功能開發。
	*產品與系統之佈署與相關測試。

	基本技能需求:
        *熟悉C#或至少一種主流Object-oriented語言。
 	*需具備資料庫使用經驗，熟悉MS SQL者佳。
        *了解HTML、Java Script、CSS等Web相關開發技術。
",專科、大學、碩士,"['sql', 'c#', 'java', 'javascript', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,76,77,中華系統整合股份有限公司,大數據-應用工程師,1. 熟悉開源解決方案整合應用 (如：Redis、ELK、MongoDB等)。,專科、大學、碩士,"['linux', 'mongodb']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,77,78,萬寶華企業管理顧問股份有限公司,派遣至LINE-Data Engineer 數據工程師 [115-83],"About this Job:
We are looking for a savvy Data Engineer with technical backgrounds in data system and platform development. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. If you want to join a world-class data team, we look forward to hearing from you soon! 

Responsibilities:
•	Build and optimize data pipeline architecture with global platform
•	Automating manual processes, optimizing data delivery
•	Build analytics tool that utilize the data pipeline to provide insights to customer needs, operational efficiency and other key business performance metrics
•	Work closely with our development teams at Tokyo and Seoul
",大學以上,"['java', 'python']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,78,79,博暉科技股份有限公司,資產管理系統維護工程師(AM),"1. 負責金融軟體系統之程式維護與開發
2. 客戶服務：問題解決及諮詢，系統增修分析及開發
3. 團隊合作服務，專業領域及knowhow會有專人帶領進學習
4. 升遷管道順暢，會依個人專長及能力安排適合的工作內容",大學以上,"['資料庫', 'sql', 'mysql']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,79,80,新加坡商立可人事顧問有限公司台灣分公司,FL-【科技】資安副理 (年1.4~1.8M),"1. 設計與執行重要商業秘密資料外洩的控管機制
2. 制定與管理人員對各種資料的使用權限
3. 辦理資訊安全維護及管理作業
4. 執行資訊安全專案-辦理滲透測試、資安健檢、弱點掃描、社交工程演練
5. 執行資訊安全每月自行查核，並配合內、外部資訊安全稽核查核作業及追蹤檢討
6. 資安事件分析、處理及回報
7. 規劃與執行全公司資訊安全教育訓練(具備資安課程開發經驗佳)",大學,['linux'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,80,81,台灣大哥大股份有限公司,E128雲端產品運維工程師,"1.負責雲端產品IaaS、PaaS運維
2.負責雲端服務虛擬平臺運維，如vSphere、Hyper-V、KVM
3.上班地點: 台北市內湖/新北市三重
【薪資待遇】月薪31,000~53,000元，依績效另有豐厚年終獎金與員工紅利。",大學以上,['linux'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,81,82,中華系統整合股份有限公司,(專案)系統維運工程師-[桃園],"(1)	網站系統管理、監控與自動化
(2)	網站系統障礙排除
(3)	維運文件撰寫
(4)	新技術導入評估與其他支援事項
",專科以上,['linux'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,82,83,小磨坊國際貿易股份有限公司,[總公司]ERP程式設計師,"1. 熟悉鼎新系統架構(Workflow ERP GP、Easy Flow) 。
2. 具系統規劃及推展系統的經驗。
3. 系統設計與開發。
4. 熟悉MS SQL 及T-SQL 語法。
5. 有良好的溝通能力。
6. 標準文件、手冊製作",專科、大學,"['sql', 'c#', 'python']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,83,84,燦坤實業股份有限公司,總部-資訊部-數據分析師,"【NOW…因應2020年起數位轉型專案啟動，擴大資訊本科與分析專才人員】 

【職務說明】
1.數據分析模型之開發與應用
2.數據應用平台之開發與導入
3.管理數據資料倉儲與應用平台

【職務條件】
1.熟悉資料庫之SQL語法及資料抽取/清理/轉換/載入…等ETL流程佳
2.熟悉資料庫(Oracle 或 MS SQL 或 PostgreSQL優先) 及具資料庫端開發經驗、OLAP 經驗
3.工作態度認真積極,具抗壓性",專科以上,"['sql', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,84,85,連宜股份有限公司,資訊專員(上班地點:前鎮),"1. ERP 流程開發、問題解決、系統設計撰寫 (程式語言不拘)。
2.  熟悉C#.NET WinForm, Crystal Report 開發技術,使用Visual Studio IDE開發環境。
3. 具Microsoft SQL Server 資料庫程式設計及維護管理能力。
4. 熟Windows Server,Linux及網路知識。


",專科以上,"['sql', '資料庫', 'linux', 'c#']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
